N1309,Bundesland,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,KPÖ,PIRAT,CPÖ,WANDL,M,EUAUS,SLP,Column
G20425,Kärnten,Poggersdorf,2485,1759,40,1719,565,245,312,251,153,133,45,10,5,,,,,,
G20428,Kärnten,St. Margareten im Rosental,890,613,11,602,220,127,38,131,40,24,16,3,3,,,,,,
G20432,Kärnten,Schiefling am Wörthersee,1974,1294,26,1268,384,190,247,152,140,90,53,4,8,,,,,,
G20435,Kärnten,Techelsberg am Wörther See,1747,1168,25,1143,364,190,226,122,99,98,32,7,5,,,,,,
G20441,Kärnten,Zell,517,372,7,365,177,47,20,8,80,12,14,6,1,,,,,,
G20442,Kärnten,Magdalensberg,2635,1827,37,1790,620,282,293,224,187,97,63,8,16,,,,,,
G20501,Kärnten,Althofen,3824,2489,43,2446,906,329,445,329,178,154,73,18,14,,,,,,
G20502,Kärnten,Brückl,2374,1633,33,1600,598,195,322,203,117,95,49,7,14,,,,,,
G20503,Kärnten,Deutsch-Griffen,789,469,16,453,111,94,136,60,16,28,5,1,2,,,,,,
G20504,Kärnten,Eberstein,1129,791,18,773,189,146,166,158,34,55,16,4,5,,,,,,
G20505,Kärnten,Friesach,4319,2592,38,2554,672,304,417,806,157,133,42,7,16,,,,,,
G20506,Kärnten,Glödnitz,717,411,4,407,119,113,83,53,9,14,8,4,4,,,,,,
G20508,Kärnten,Gurk,1047,812,14,798,212,174,192,123,45,37,8,1,6,,,,,,
G20509,Kärnten,Guttaring,1223,841,11,830,248,152,169,111,68,51,26,3,2,,,,,,
G20511,Kärnten,Hüttenberg,1329,868,19,849,351,96,222,115,27,18,5,9,6,,,,,,
G20512,Kärnten,Kappel am Krappfeld,1588,1168,25,1143,320,360,169,134,69,61,22,5,3,,,,,,
G20513,Kärnten,Klein St. Paul,1591,1079,19,1060,297,220,226,178,54,55,19,5,6,,,,,,
G20515,Kärnten,Liebenfels,2637,1701,27,1674,572,249,286,225,162,106,52,12,10,,,,,,
G20518,Kärnten,Metnitz,1757,1233,32,1201,266,333,257,197,57,52,24,12,3,,,,,,
G20519,Kärnten,Micheldorf,893,596,10,586,231,69,86,119,33,29,11,6,2,,,,,,
G20520,Kärnten,Mölbling,1101,755,15,740,174,83,205,163,59,33,13,4,6,,,,,,
G20523,Kärnten,St. Georgen am Längsee,2974,2014,45,1969,653,253,355,291,203,129,64,13,8,,,,,,
G20527,Kärnten,St. Veit an der Glan,10066,6108,111,5997,2273,658,1020,815,628,352,188,39,24,,,,,,
G20530,Kärnten,Straßburg,1752,1158,27,1131,241,267,312,188,52,40,21,4,6,,,,,,
G20531,Kärnten,Weitensfeld im Gurktal,1776,1190,15,1175,290,313,297,135,45,70,18,3,4,,,,,,
G20534,Kärnten,Frauenstein,2941,1963,30,1933,534,282,376,289,252,101,76,13,10,,,,,,
G20601,Kärnten,Bad Kleinkirchheim,1359,898,13,885,184,144,194,119,90,98,50,0,6,,,,,,
G20602,Kärnten,Baldramsdorf,1543,1034,21,1013,380,122,224,104,53,78,46,4,2,,,,,,
G20603,Kärnten,Berg im Drautal,1102,755,18,737,192,229,88,58,74,62,29,3,2,,,,,,
G20604,Kärnten,Dellach im Drautal,1392,911,30,881,286,179,123,83,107,62,30,4,7,,,,,,
G20605,Kärnten,Großkirchheim,1132,777,12,765,106,204,225,80,64,60,23,2,1,,,,,,
G20607,Kärnten,Flattach,980,628,11,617,162,64,126,106,38,102,13,0,6,,,,,,
G20608,Kärnten,Gmünd in Kärnten,2142,1435,22,1413,419,215,324,173,139,71,58,6,8,,,,,,
G20609,Kärnten,Greifenburg,1428,957,15,942,218,235,212,88,79,68,34,6,2,,,,,,
G20610,Kärnten,Heiligenblut am Großglockner,885,556,14,542,118,171,87,51,53,43,15,2,2,,,,,,
G20611,Kärnten,Irschen,1625,1110,22,1088,383,244,177,65,113,71,18,7,10,,,,,,
G20613,Kärnten,Kleblach-Lind,1007,719,15,704,247,170,113,49,64,40,14,4,3,,,,,,
G20616,Kärnten,Lendorf,1432,1006,8,998,307,206,200,83,70,75,47,4,6,,,,,,
G20618,Kärnten,Mallnitz,680,493,6,487,273,75,47,49,25,13,4,1,0,,,,,,
G20619,Kärnten,Malta,1684,1099,20,1079,337,145,283,122,88,60,43,1,0,,,,,,
G20620,Kärnten,Millstatt am See,2743,1745,26,1719,361,342,290,207,257,131,113,8,10,,,,,,
G20622,Kärnten,Mörtschach,678,443,15,428,66,111,100,73,28,37,7,3,3,,,,,,
G20624,Kärnten,Mühldorf,795,535,11,524,183,61,161,35,29,26,20,4,5,,,,,,
G20625,Kärnten,Oberdrauburg,1006,630,13,617,189,153,89,56,58,57,9,3,3,,,,,,
G20627,Kärnten,Obervellach,1893,1160,16,1144,286,211,243,159,78,119,36,5,7,,,,,,
